Date,Thor Levered Index - Gross,Thor Levered Index - Net,State Street SPDR S&P 500 ETF
2020-12-31,0.7073236846724562,0.6903837939620683,0.5080820000000097
2021-01-31,-0.6334494507648891,-0.6505211310386727,-1.0190524432310277
2021-02-28,2.1488857595668653,2.1332103435673266,2.7805560928319872
2021-03-31,3.875502170272682,3.857958709130349,4.540526990058691
2021-04-30,7.41663678333353,7.398863502406039,5.291028942465648
2021-05-31,-1.1702917263898271,-1.1869963795782201,0.6566232904995584
2021-06-30,2.5119789701247397,2.4951958011856012,2.247292920571553
2021-07-31,1.3464300227265191,1.3291958607518861,2.4412667756477546
2021-08-31,3.622892437502867,3.6053066836404524,2.975982856529491
2021-09-30,-5.72363227833036,-5.739223660269577,-4.657524798434665
2021-10-31,7.92365072660608,7.905420485159231,7.016356723438655
2021-11-30,-0.524678303816617,-0.5411922543087644,-0.8035041478363425
2021-12-31,1.6549280375836695,1.637641115469668,4.629498638614349
2022-01-31,-4.329744182598628,-4.345625718785595,-5.27411422309878
2022-02-28,-1.806235636660336,-1.8213102261409264,-2.9516870932291495
2022-03-31,1.7186532724399628,1.7011366928360028,3.7555532028997973
2022-04-30,-7.568475729860625,-7.5842924418219715,-8.776879324677811
2022-05-31,0.5269887930587469,0.5098670037451569,0.22573993886991772
2022-06-30,-4.086179752329588,-4.101935726899642,-8.246916349408263
2022-07-31,6.839982897961128,6.822250750200332,9.208741837531043
2022-08-31,-3.2593945583245687,-3.275878504524099,-4.080215812795174
2022-09-30,-6.462866294009373,-6.478289496495105,-9.24164561192351
2022-10-31,6.36892535662521,6.3507243650601675,8.12757028384401
2022-11-30,6.081386466490901,6.064723755904211,5.559141264701339
2022-12-31,-6.436300724746946,-6.452182683371188,-5.757579634044296
2023-01-31,7.793348196812189,7.775457358176019,6.2887416039092425
2023-02-28,-1.9763998506968972,-1.9914397117787752,-2.5142727091917783
2023-03-31,5.174759692904707,5.157288430253204,3.7124880037967545
2023-04-30,1.9951890801380934,1.9786627258902012,1.5974862463315809
2023-05-31,0.3915630890804822,0.37442522136537093,0.46163519517887774
2023-06-30,8.997922671814784,8.980346467000345,6.481418552872742
2023-07-31,4.47072737493972,4.4530814745388225,3.2732813980396847
2023-08-31,-2.2816750788792084,-2.2982371062451157,-1.6252091122347156
2023-09-30,-2.8818887977768104,-2.8978344407395884,-4.739334538311956
2023-10-31,-3.683416951028906,-3.699679659265065,-2.1708530443140694
2023-11-30,10.386433539790607,10.368429648114198,9.134376945313448
2023-12-31,6.234278121675918,6.2162114947383,4.56626658600241
2024-01-31,1.963279212196789,1.9455993471159116,1.592653159472679
2024-02-29,7.161560741105966,7.144663121689954,5.218688604176869
2024-03-31,4.442169477536817,4.424469245482632,3.272386922062931
2024-04-30,-5.34273289178312,-5.3584341477305175,-4.031948747543956
2024-05-31,4.490943318538809,4.473460942447627,5.057997937364012
2024-06-30,4.7592589720032,4.74198399366339,3.528453274959875
2024-07-31,1.3887782838838403,1.3717864622531994,1.2109401782889107
2024-08-31,4.554682378311026,4.537154393459386,2.336571913115537
2024-09-30,-0.9220064613543966,-0.9381693937580482,2.1009231964360664
2024-10-31,-1.031122405242535,-1.0482080504978453,-0.8923763816983898
2024-11-30,6.457648680400685,6.440342726128523,5.963333899181356
2024-12-31,-3.4885462137892564,-3.504941142007645,-2.409986671923814
2025-01-31,2.2661588329380367,2.2487757794329877,2.6856441107538265
2025-02-28,-1.0492591049106492,-1.0642142307363045,-1.2694653550941903
2025-03-31,-4.461031362117762,-4.47711499265917,-5.572105438092779
2025-04-30,3.3256602992523865,3.3087273773143133,-0.8670539385401965
2025-05-31,8.727959875444391,8.709510288851519,6.28450814422381
2025-06-30,7.184297842669829,7.166850630094346,5.139351490660449
2025-07-31,3.0657632268447976,3.048202954805057,2.303126303147174
2025-08-31,2.707133812873508,2.6895819440320823,2.051922930861494
2025-09-30,4.948465964703086,4.931352815091894,3.5606330261137575
2025-10-31,3.171486963776382,3.1540859405819965,2.38372094003938
2025-11-30,-1.9670558993560405,-1.9830566317803222,0.19498758913090164
2025-12-31,0.1716010464185791,0.15452511862079632,0.07716772751418244
2026-01-31,1.220701056669804,1.2035121260061343,1.4737555503431032
2026-02-06,-1.6845709316405832,-1.6845709316405832,-2.073789167393836
