Date,Thor Sector 100 - Gross,Thor Sector 100 - Net,Invesco S&P 500 Equal Weight ETF
2005-02-28,1.3174526008750576,1.301926674476861,0.22564742203552424
2005-03-31,-1.1800483290080321,-1.196732366224229,-1.3636881885219165
2005-04-30,-0.1447258932131823,-0.16096377448612254,-3.195051983001007
2005-05-31,0.8675717108509451,0.8504635544426042,4.495753910477185
2005-06-30,-0.412873364931321,-0.4292896936416879,1.536061348221951
2005-07-31,3.6659728434315086,3.6483223549897748,5.107137097470238
2005-08-31,-0.7410367436265997,-0.7576449805396956,-0.872899734953636
2005-09-30,1.8734447731302728,1.8567738410779633,0.4964743936262783
2005-10-31,-3.5418458653207807,-3.558118440242608,-2.678643406015069
2005-11-30,4.254512653185549,4.23735677294641,4.551485663942545
2005-12-31,0.5007666909680353,0.48362121760852084,0.5329100587750712
2006-01-31,2.7685731389288204,2.7511126851558876,4.025795323878567
2006-02-28,-0.028099603520770344,-0.043564778117166636,0.3360397447220942
2006-03-31,2.400417276175304,2.3830185757840683,2.0964628469271274
2006-04-30,0.2292616694691496,0.2128661361408879,0.8616872696028288
2006-05-31,-3.3523183622744757,-3.368574829229687,-2.9676176661594944
2006-06-30,-0.1477155177233458,-0.16409407576634116,-0.27906439791827164
2006-07-31,-0.010712347747177109,-0.02765809795365337,-1.3283658167252965
2006-08-31,1.668152088884356,1.6509422611270752,2.7396956375525194
2006-09-30,1.9209669197486123,1.9042146401410553,2.3960807715905474
2006-10-31,3.7516380103261415,3.734047855681921,3.7595596198383374
2006-11-30,2.2657431786156756,2.249030927976703,2.495114631575923
2006-12-31,0.620211324668074,0.6030866324513662,0.5655361462931996
2007-01-31,2.1585726358937185,2.1413833257169834,2.4081352123641597
2007-02-28,-1.043150660130976,-1.0581937131096564,-0.4744221685098915
2007-03-31,0.9330919253039749,0.9159716180099808,0.8199567889184411
2007-04-30,3.747395676712051,3.730213065327481,4.412541582046958
2007-05-31,3.2773113057494863,3.259856152399365,3.235353151386944
2007-06-30,-1.3670945888325958,-1.383229702808031,-1.8558319465205142
2007-07-31,-2.3742585474854083,-2.390979638105628,-4.511715672221584
2007-08-31,0.4690888484543798,0.4521617004183298,0.0818179661132179
2007-09-30,3.8025220372257307,3.785445970840562,2.490357284502509
2007-10-31,2.2885407359870547,2.271393560466528,1.1202221566601445
2007-11-30,-1.4257349186579171,-1.4418762257263018,-4.648865298703663
2007-12-31,0.8350608477960098,0.8178942872516526,-1.7152595258921877
2008-01-31,-2.4867790721868066,-2.503241828657765,-4.302669905486667
2008-02-29,-0.25226464854948283,-0.26807166671992677,-3.0121900734337625
2008-03-31,2.1252025685194464,2.107927207250415,-1.8639308451099734
2008-04-30,2.410846357141505,2.3940123264264646,5.722963911268741
2008-05-31,-0.6515647886397025,-0.668440721367114,2.6513736537360444
2008-06-30,-4.543334076718253,-4.558948127650142,-9.836152288419608
2008-07-31,-2.5895450409520127,-2.6060758721376254,-0.5031145011062388
2008-08-31,0.507379493068294,0.490280488243644,2.961720907443399
2008-09-30,-3.109901037390206,-3.125371589156445,-10.908621260032902
2008-10-31,-5.994793066222992,-6.010717445539648,-20.906879457910755
2008-11-30,4.963628380072627,4.946567551730863,-9.633342916684185
2008-12-31,3.628252217794148,3.6110795068345025,3.0830486331277607
2009-01-31,-9.74552077822578,-9.761184206954997,-8.34531662081437
2009-02-28,-11.061069834645586,-11.074914078282994,-11.24569482158112
2009-03-31,6.6723597983197935,6.654589191314053,10.291001707057834
2009-04-30,13.200376096751976,13.181852419717899,18.691950289453207
2009-05-31,5.438940915244284,5.421399553838202,6.462566379332979
2009-06-30,-0.6181472564297685,-0.6345515066714102,-1.1986186908438667
2009-07-31,8.006033453347827,7.987753540921405,9.185330164379902
2009-08-31,4.514568717910428,4.4966886302424625,5.648063674354065
2009-09-30,3.932452388958474,3.9153289906465716,5.284728760467261
2009-10-31,-2.6515704269578944,-2.6685436231349002,-3.699711397855998
2009-11-30,6.555861359333037,6.538409628872932,5.540064206467399
2009-12-31,2.8172439449711595,2.7996134073597245,4.610673308901414
2010-01-31,-4.004604649165766,-4.021015706402786,-3.3174915299848617
2010-02-28,2.4827840945256696,2.4670804944384006,4.1900792267981934
2010-03-31,5.713630819778781,5.695629525471935,7.223959597657914
2010-04-30,1.9388299453695135,1.9218367098158273,2.654470331771286
2010-05-31,-7.222706675436131,-7.238435277676469,-7.36840149223249
2010-06-30,-0.5130213852225118,-0.5293536216375627,-6.3072246171069875
2010-07-31,1.086901690013442,1.0697696391922307,7.354481984065719
2010-08-31,-0.07976768279899238,-0.09667596790629007,-4.756035978798668
2010-09-30,1.846480809450779,1.8297709057292,10.188580237004775
2010-10-31,3.746633819684453,3.729087559045774,3.5629982731105514
2010-11-30,0.2873737050113734,0.27086770738971033,0.8202174710481458
2010-12-31,6.23048285294312,6.212485965555592,7.215323295204268
2011-01-31,2.001961178509881,1.9848332987957074,2.113713227688363
2011-02-28,3.5056036283750203,3.489906271971255,4.015747619474341
2011-03-31,0.3549945407186117,0.33799273776309313,0.832885337315914
2011-04-30,3.2475430450224607,3.230651524228656,3.131191875335415
2011-05-31,-0.9904923594789339,-1.00708834818648,-0.6148889125070722
2011-06-30,-1.804089096900674,-1.820093921521937,-1.8034849562493904
2011-07-31,-1.806443549605341,-1.8231813094620186,-3.615162394284266
2011-08-31,-3.0363932070579747,-3.052796353814413,-6.353756783231345
2011-09-30,0.04540075968502144,0.028961207380473475,-9.050076913418781
2011-10-31,1.7381493743426901,1.7205381027188826,13.06762990421586
