Date,Thor NextGen Stock - Gross,Thor NextGen Stock - Net,ARK Innovation ETF
2020-01-31,16.53263060470622,16.51241834040491,3.4965106110748767
2020-02-29,2.373638463173333,2.357501912311033,2.007700811409685
2020-03-31,-6.189090721759083,-6.204933490016362,-16.729704782959775
2020-04-30,33.36942021772194,33.34717612867175,25.750005874179127
2020-05-31,9.627414913020038,9.609413959799262,13.536971314830026
2020-06-30,26.77797946643814,26.757737727340334,13.514803306164659
2020-07-31,8.886608821488661,8.868163818137088,12.705116874680723
2020-08-31,12.532905753327771,12.514195183033895,18.613911596873535
2020-09-30,1.4349041497296655,1.4183774109659097,-3.493165381302221
2020-10-31,4.024380063207089,4.005552969781401,-1.315190743671013
2020-11-30,11.574016689665223,11.556105369364445,23.76910909334553
2020-12-31,2.6771616060989656,2.6594330805330912,12.60753698908803
2021-01-31,0.9921394845382014,0.9750401600764347,10.402389559007052
2021-02-28,-6.604746652149796,-6.6189017367177865,-5.151332460845593
2021-03-31,-0.004872297384750368,-0.021461910120668115,-7.985602225887389
2021-04-30,1.1108296600544465,1.0939490687545295,0.6836046832636278
2021-05-31,-2.6349599292656234,-2.651515977230756,-7.178912750409405
2021-06-30,21.649057715648002,21.628948769919077,16.663689579138996
2021-07-31,-13.928105568169613,-13.943476089121054,-8.242837737511643
2021-08-31,-0.1860837618721689,-0.20303425617194115,1.6916538238343382
2021-09-30,-6.068959339864777,-6.084328058039512,-9.423933716488497
2021-10-31,4.54410707726316,4.526376257386788,9.725851008806274
2021-11-30,3.724112997168305,3.7069361601814954,-12.854560573944285
2021-12-31,-10.113420123583538,-10.129038217742803,-9.755989163133538
2022-01-31,-5.310251965963264,-5.326292305794178,-20.25586275658904
2022-02-28,0,-0.015300546448082653,-6.575634769456562
2022-03-31,-3.52134478591829,-3.5380849920838786,-5.931621113873331
2022-04-30,-5.041450490650767,-5.057197576725003,-28.903292306775462
2022-05-31,-6.9676710057427815,-6.983653982259074,-6.450234150723377
2022-06-30,-13.98358879637832,-13.99768984739531,-9.548652754993425
2022-07-31,0,-0.016939890710387928,13.164489293270432
2022-08-31,-10.392085864646061,-10.407294064693795,-7.201409707117645
2022-09-30,-3.0643321120115363,-3.080223205107935,-9.90929292954389
2022-10-31,-5.069180919444538,-5.085386694751737,1.4577284700991955
2022-11-30,-3.285771986944075,-3.3006485396784746,-2.089811560484134
2022-12-31,-13.132300896298844,-13.146949989898271,-16.64886690102987
2023-01-31,22.16915370979993,22.148961960561664,27.81690370643075
2023-02-28,9.538401627492398,9.521600603347459,-0.7763594355226777
2023-03-31,3.923293994220445,3.9057468629650094,1.8172906925110421
2023-04-30,-0.023155613995951008,-0.039474356716595604,-10.95688248960479
2023-05-31,8.342087631211093,8.323415539885604,12.722735839510179
2023-06-30,3.4143984787912585,3.397630543803176,9.014542037488615
2023-07-31,5.775450996121512,5.758208774651985,14.295389892063891
2023-08-31,-17.000264587231417,-17.014315651476085,-13.280460596630872
2023-09-30,0.39077442750128366,0.374318680061303,-9.32572004369745
2023-10-31,0.4226282417226557,0.40561675825001586,-11.570454374162686
2023-11-30,11.333467018618926,11.314298342425833,31.442431773122625
2023-12-31,8.770477856159452,8.751385311747374,13.576216327105705
2024-01-31,-2.9433698154667676,-2.9603586669042614,-13.290057793935583
2024-02-29,16.00327307957339,15.985473356178769,12.860596698662597
2024-03-31,1.381129549506821,1.363955696960173,-2.282935127313057
2024-04-30,0.4232450794158238,0.40678401014104804,-13.218865971313665
2024-05-31,0.4476729192814277,0.43066082574854114,-2.323963546387986
2024-06-30,-7.745724148353417,-7.760875574971449,3.533585518398552
2024-07-31,12.145660397766921,12.126667101688904,3.594987864640009
2024-08-31,0.45279453314903684,0.43578702086823906,-1.5594140244293508
2024-09-30,0.41384051299788727,0.39738098485033735,6.046407200972781
2024-10-31,0.38718674646054385,0.37018489767253193,-3.450468261487416
2024-11-30,15.394327378321403,15.375596743560372,26.345603659703464
2024-12-31,-7.958177910608288,-7.973831694247602,-2.086934780152516
2025-01-31,4.764392245810467,4.746668531555254,10.745110995083017
2025-02-28,-8.708907021631884,-8.722378470230552,-11.499919785720781
2025-03-31,-10.671871179844173,-10.687141052468585,-14.485995895216064
2025-04-30,2.9470314346229154,2.929991414664146,6.851665495050963
2025-05-31,13.42833755507038,13.409298900297495,10.877228700242348
2025-06-30,10.43995826406585,10.422297929626634,24.69398327109744
2025-07-31,9.331274008476464,9.313017864711682,7.1703246332841974
2025-08-31,8.234423681072611,8.21532502773592,-0.4911848794559859
2025-09-30,13.236866830047411,13.217831566937853,15.128069017736712
2025-10-31,3.227191696686149,3.2100087374160147,3.105456657001615
2025-11-30,-10.915724536400928,-10.930323739280057,-10.451785679850866
2025-12-31,0.3359102808711212,0.31891534733869964,-3.463882251832473
2026-01-31,0.2954694681549741,0.2784832328103226,-2.6651070499473017
2026-02-06,0.037133351620632915,0.037133351620632915,-11.406437797745228
